abc,avar,white,black,hisp,asian,oth,female,dis,takeup,treat
0,-250,0,1,0,0,0,1,0,0,0
24,332,0,1,0,0,0,1,0,1,1
13,-33,1,0,0,0,0,1,0,0,0
21,-281,1,0,0,0,0,1,0,0,0
23,-42,0,1,0,0,0,1,0,0,0
2,-272,0,1,0,0,0,0,0,0,0
14,-47,0,1,0,0,0,0,0,0,0
26,239,0,1,0,0,0,0,0,1,1
8,364,1,0,0,0,0,1,0,1,1
2,-345,0,1,0,0,0,1,0,0,0
26,140,0,1,0,0,0,0,0,1,1
15,-52,0,1,0,0,0,1,0,0,0
22,296,1,0,0,0,0,1,1,1,1
1,-89,0,1,0,0,0,1,0,0,0
14,273,1,0,0,0,0,0,0,1,1
26,275,1,0,0,0,0,0,0,1,1
23,358,0,1,0,0,0,0,0,1,1
25,33,0,1,0,0,0,0,0,1,1
25,291,1,0,0,0,0,1,0,1,1
25,187,0,1,0,0,0,1,0,1,1
21,-140,0,1,0,0,0,1,0,0,0
18,318,0,0,0,0,1,1,0,1,1
26,271,0,1,0,0,0,0,0,1,1
25,257,1,0,0,0,0,0,0,1,1
26,102,0,1,0,0,0,0,0,1,1
21,337,0,0,1,0,0,1,0,1,1
1,-346,0,0,1,0,0,1,0,0,0
0,-314,0,1,0,0,0,0,0,0,0
18,221,0,1,0,0,0,1,0,1,1
11,136,0,1,0,0,0,1,0,1,1
26,359,0,1,0,0,0,1,0,1,1
26,340,1,0,0,0,0,1,0,1,1
25,73,1,0,0,0,0,0,0,1,1
0,-59,0,0,1,0,0,1,0,0,0
17,79,1,0,0,0,0,0,0,1,1
26,177,0,0,0,0,1,0,0,1,1
24,-51,1,0,0,0,0,1,0,0,0
4,-82,1,0,0,0,0,1,0,0,0
26,235,0,1,0,0,0,0,0,1,1
16,-182,0,1,0,0,0,0,0,0,0
24,-61,1,0,0,0,0,0,0,0,0
0,-280,0,0,1,0,0,0,0,0,0
1,-201,1,0,0,0,0,0,0,0,0
25,190,0,0,1,0,0,1,0,1,1
0,-353,0,1,0,0,0,0,0,0,0
26,295,1,0,0,0,0,1,0,1,1
26,284,1,0,0,0,0,1,0,1,1
0,-269,0,1,0,0,0,1,0,0,0
24,-41,1,0,0,0,0,1,0,0,0
2,260,1,0,0,0,0,0,1,0,1
24,248,0,1,0,0,0,1,0,1,1
